zip,city,pop,state,loc
1583,WEST BOYLSTON,6611,MA,"[-71.783822, 42.35836]"
1585,WEST BROOKFIELD,3528,MA,"[-72.151137, 42.244137]"
1588,WHITINSVILLE,8807,MA,"[-71.664357, 42.115319]"
1590,WILKINSONVILLE,6719,MA,"[-71.748416, 42.140586]"
1602,WORCESTER,19988,MA,"[-71.841678, 42.270251]"
1603,WORCESTER,18605,MA,"[-71.837995, 42.245033]"
1604,WORCESTER,29036,MA,"[-71.774626, 42.254084]"
1605,WORCESTER,25695,MA,"[-71.788795, 42.289391]"
1606,WORCESTER,18213,MA,"[-71.795774, 42.311029]"
1607,WORCESTER,9048,MA,"[-71.793837, 42.230294]"
1608,WORCESTER,3646,MA,"[-71.800262, 42.262425]"
1609,WORCESTER,21905,MA,"[-71.817456, 42.275387]"
1610,WORCESTER,23720,MA,"[-71.810798, 42.249186]"
1611,CHERRY VALLEY,2510,MA,"[-71.874971, 42.237287]"
1612,PAXTON,4047,MA,"[-71.920234, 42.306646]"
1701,FRAMINGHAM,65046,MA,"[-71.425486, 42.300665]"
1718,VILLAGE OF NAGOG,2330,MA,"[-71.422354, 42.514941]"
1719,BOXBORO,3343,MA,"[-71.518229, 42.486876]"
1720,ACTON,15514,MA,"[-71.448255, 42.475076]"
1721,ASHLAND,12066,MA,"[-71.458347, 42.253909]"
1730,BEDFORD,16147,MA,"[-71.276796, 42.484287]"
1740,BOLTON,3134,MA,"[-71.607593, 42.436523]"
1741,CARLISLE,4333,MA,"[-71.351892, 42.528562]"
1742,CONCORD,17076,MA,"[-71.374741, 42.456701]"
1745,SOUTHBOROUGH,506,MA,"[-71.502256, 42.293221]"
1746,HOLLISTON,12917,MA,"[-71.436059, 42.202641]"
1747,HOPEDALE,5649,MA,"[-71.537601, 42.126796]"
1748,HOPKINTON,9191,MA,"[-71.530178, 42.219046]"
1749,HUDSON,17233,MA,"[-71.560896, 42.391796]"
1752,MARLBOROUGH,31813,MA,"[-71.543355, 42.350861]"
1754,MAYNARD,10325,MA,"[-71.454975, 42.432118]"
1756,MENDON,4010,MA,"[-71.549882, 42.096744]"
1757,MILFORD,25372,MA,"[-71.527402, 42.151142]"
1760,NATICK,30432,MA,"[-71.35741, 42.287476]"
1770,SHERBORN,3998,MA,"[-71.378717, 42.233088]"
1772,SOUTHBOROUGH,6122,MA,"[-71.531997, 42.293919]"
1773,LINCOLN,4515,MA,"[-71.313723, 42.421723]"
1775,STOW,5328,MA,"[-71.515019, 42.430785]"
1776,SUDBURY,14358,MA,"[-71.428159, 42.383655]"
1778,WAYLAND,11874,MA,"[-71.358781, 42.348629]"
1801,WOBURN,36152,MA,"[-71.157404, 42.482894]"
1803,BURLINGTON,23093,MA,"[-71.200437, 42.508942]"
1810,ANDOVER,29161,MA,"[-71.156481, 42.64956]"
1821,BILLERICA,28899,MA,"[-71.251754, 42.551874]"
1824,SOUTH CHELMSFORD,24457,MA,"[-71.357521, 42.59356]"
1826,DRACUT,25594,MA,"[-71.318592, 42.676422]"
1827,DUNSTABLE,2166,MA,"[-71.495201, 42.673917]"
1830,HAVERHILL,22445,MA,"[-71.072057, 42.785605]"
1832,HAVERHILL,16860,MA,"[-71.109519, 42.779154]"
1833,GEORGETOWN,6384,MA,"[-70.982239, 42.728067]"
1834,GROVELAND,5214,MA,"[-71.027018, 42.753027]"
1835,BRADFORD,12078,MA,"[-71.08549, 42.758597]"
1840,LAWRENCE,2728,MA,"[-71.16381, 42.707958]"
1841,LAWRENCE,45555,MA,"[-71.166997, 42.711545]"
1843,LAWRENCE,22285,MA,"[-71.160506, 42.691053]"
1844,METHUEN,39664,MA,"[-71.181031, 42.728019]"
1845,NORTH ANDOVER,22792,MA,"[-71.109004, 42.682583]"
1850,LOWELL,15434,MA,"[-71.305078, 42.656035]"
1851,LOWELL,28154,MA,"[-71.332882, 42.631548]"
1852,LOWELL,33379,MA,"[-71.298331, 42.634413]"
1854,LOWELL,26472,MA,"[-71.335464, 42.649254]"
1860,MERRIMAC,5196,MA,"[-71.004658, 42.834629]"
1862,NORTH BILLERICA,8720,MA,"[-71.290217, 42.575694]"
1863,NORTH CHELMSFORD,7878,MA,"[-71.390834, 42.634737]"
1864,NORTH READING,12002,MA,"[-71.094711, 42.581898]"
1867,READING,22539,MA,"[-71.109021, 42.527986]"
1876,TEWKSBURY,27269,MA,"[-71.223224, 42.60283]"
1879,TYNGSBORO,8643,MA,"[-71.415766, 42.672383]"
1880,WAKEFIELD,24830,MA,"[-71.068471, 42.500886]"
1886,GRANITEVILLE,16430,MA,"[-71.438143, 42.589959]"
1887,WILMINGTON,17647,MA,"[-71.172306, 42.558143]"
1890,WINCHESTER,20232,MA,"[-71.14407, 42.453028]"
1901,LYNN,1187,MA,"[-70.945516, 42.463378]"
1902,LYNN,41625,MA,"[-70.941989, 42.469814]"
1904,EAST LYNN,17073,MA,"[-70.962798, 42.487453]"
1905,WEST LYNN,21360,MA,"[-70.973825, 42.46453]"
1906,SAUGUS,25487,MA,"[-71.011093, 42.463344]"
1907,SWAMPSCOTT,13650,MA,"[-70.909774, 42.474611]"
1908,NAHANT,3828,MA,"[-70.927739, 42.426098]"
1913,AMESBURY,14970,MA,"[-70.936681, 42.855879]"
1915,BEVERLY,38259,MA,"[-70.875939, 42.560825]"
1921,BOXFORD,6249,MA,"[-71.011372, 42.679719]"
1922,BYFIELD,2006,MA,"[-70.935053, 42.756792]"
1923,DANVERS,23977,MA,"[-70.942461, 42.569402]"
1929,ESSEX,3260,MA,"[-70.782794, 42.628629]"
1930,GLOUCESTER,28716,MA,"[-70.672149, 42.620836]"
1938,IPSWICH,11864,MA,"[-70.849353, 42.680877]"
1940,LYNNFIELD,11274,MA,"[-71.033873, 42.532711]"
1944,MANCHESTER,5286,MA,"[-70.767434, 42.57963]"
1945,MARBLEHEAD,19971,MA,"[-70.865291, 42.498431]"
1949,MIDDLETON,4921,MA,"[-71.013004, 42.594184]"
1950,NEWBURYPORT,16317,MA,"[-70.884668, 42.812964]"
1951,NEWBURY,3710,MA,"[-70.847377, 42.783475]"
1952,SALISBURY,6879,MA,"[-70.858822, 42.850678]"
1960,PEABODY,47685,MA,"[-70.961194, 42.532579]"
1966,ROCKPORT,7482,MA,"[-70.619424, 42.657973]"
1969,ROWLEY,4368,MA,"[-70.90696, 42.713753]"
1970,SALEM,37642,MA,"[-70.900343, 42.515114]"
1982,SOUTH HAMILTON,7288,MA,"[-70.856132, 42.618478]"
1983,TOPSFIELD,5763,MA,"[-70.948843, 42.641546]"
1984,WENHAM,4148,MA,"[-70.878622, 42.60166]"
1985,WEST NEWBURY,3421,MA,"[-70.977811, 42.794865]"
2019,BELLINGHAM,14873,MA,"[-71.476829, 42.074573]"
2021,CANTON,18530,MA,"[-71.135536, 42.164454]"
2025,COHASSET,7075,MA,"[-70.812788, 42.239484]"
2026,DEDHAM,23782,MA,"[-71.163741, 42.243685]"
2030,DOVER,4915,MA,"[-71.285363, 42.236233]"
2032,EAST WALPOLE,3844,MA,"[-71.2179, 42.15324]"
2035,FOXBORO,14293,MA,"[-71.244127, 42.064938]"
2038,FRANKLIN,22128,MA,"[-71.405786, 42.09347]"
2043,HINGHAM,19821,MA,"[-70.891051, 42.224485]"
2045,HULL,10466,MA,"[-70.875442, 42.285346]"
2048,MANSFIELD,16676,MA,"[-71.217775, 42.021238]"
2050,MARSHFIELD,21782,MA,"[-70.69931, 42.106177]"
2052,MEDFIELD,10531,MA,"[-71.304813, 42.184525]"
2053,MEDWAY,9902,MA,"[-71.421715, 42.151363]"
2054,MILLIS,7613,MA,"[-71.360693, 42.166938]"
2056,NORFOLK,9259,MA,"[-71.326934, 42.117746]"
2061,NORWELL,9279,MA,"[-70.82172, 42.159574]"
2062,NORWOOD,28700,MA,"[-71.203313, 42.186843]"
2066,SCITUATE,16535,MA,"[-70.752476, 42.203235]"
2067,SHARON,15873,MA,"[-71.175872, 42.109388]"
2071,SOUTH WALPOLE,752,MA,"[-71.275235, 42.099203]"
2072,STOUGHTON,26777,MA,"[-71.107357, 42.125279]"
2081,WALPOLE,15615,MA,"[-71.254391, 42.144413]"
2090,WESTWOOD,12557,MA,"[-71.210426, 42.214824]"
2093,WRENTHAM,9006,MA,"[-71.339568, 42.061746]"
2108,BOSTON,3697,MA,"[-71.068432, 42.357603]"
2109,BOSTON,3926,MA,"[-71.053386, 42.362963]"
2110,BOSTON,957,MA,"[-71.051417, 42.357636]"
2111,BOSTON,3759,MA,"[-71.0629, 42.350348]"
2113,BOSTON,6698,MA,"[-71.055958, 42.365656]"
2114,BOSTON,10246,MA,"[-71.06823, 42.361111]"
2115,BOSTON,25597,MA,"[-71.092215, 42.342706]"
2116,BOSTON,17459,MA,"[-71.076798, 42.349201]"
2118,ROXBURY,21914,MA,"[-71.075627, 42.340154]"
2119,ROXBURY,25207,MA,"[-71.086923, 42.322414]"
2120,ROXBURY,14212,MA,"[-71.097978, 42.332844]"
2121,DORCHESTER,25602,MA,"[-71.08305, 42.307503]"
2122,DORCHESTER,21266,MA,"[-71.058304, 42.297278]"
2124,DORCHESTER,48560,MA,"[-71.072898, 42.287984]"
2125,DORCHESTER,31393,MA,"[-71.061924, 42.315305]"
2126,MATTAPAN,27808,MA,"[-71.093871, 42.273889]"
2127,SOUTH BOSTON,29170,MA,"[-71.043792, 42.333454]"
2128,EAST BOSTON,32941,MA,"[-71.028682, 42.378137]"
2129,CHARLESTOWN,14775,MA,"[-71.062715, 42.377815]"
2130,JAMAICA PLAIN,36571,MA,"[-71.111495, 42.312596]"
2131,ROSLINDALE,32677,MA,"[-71.129543, 42.283615]"
2132,WEST ROXBURY,26366,MA,"[-71.158868, 42.27868]"
2134,ALLSTON,23775,MA,"[-71.132866, 42.353519]"
2135,BRIGHTON,35011,MA,"[-71.156599, 42.34779]"
2136,HYDE PARK,24260,MA,"[-71.126052, 42.253989]"
2138,CAMBRIDGE,33841,MA,"[-71.125611, 42.377045]"
2139,CAMBRIDGE,33149,MA,"[-71.104155, 42.364688]"
2140,NORTH CAMBRIDGE,16313,MA,"[-71.129379, 42.391366]"
2141,EAST CAMBRIDGE,10392,MA,"[-71.088277, 42.370701]"
2142,CAMBRIDGE,1336,MA,"[-71.083011, 42.362025]"
2143,SOMERVILLE,25597,MA,"[-71.102814, 42.382945]"
2144,SOMERVILLE,26374,MA,"[-71.122059, 42.40032]"
2145,SOMERVILLE,24422,MA,"[-71.092944, 42.390678]"
2146,BROOKLINE,56614,MA,"[-71.128917, 42.339158]"
2148,MALDEN,54114,MA,"[-71.060507, 42.42911]"
2149,EVERETT,35493,MA,"[-71.051448, 42.411199]"
2150,CHELSEA,28790,MA,"[-71.032521, 42.396252]"
2151,REVERE,42766,MA,"[-71.005165, 42.413767]"
2152,WINTHROP,18907,MA,"[-70.980043, 42.376294]"
2154,NORTH WALTHAM,57871,MA,"[-71.236497, 42.382492]"
2155,MEDFORD,57338,MA,"[-71.108686, 42.417335]"
2158,NEWTONVILLE,13271,MA,"[-71.1902, 42.353835]"
2159,NEWTON CENTER,18726,MA,"[-71.191839, 42.318889]"
2160,NEWTONVILLE,8872,MA,"[-71.208771, 42.351961]"
2161,NEWTON HIGHLANDS,6657,MA,"[-71.209347, 42.318512]"
2162,NEWTONVILLE,1427,MA,"[-71.258025, 42.330296]"
2163,CAMBRIDGE,0,MA,"[-71.141879, 42.364005]"
2164,NEWTON UPPER FAL,2597,MA,"[-71.221615, 42.312562]"
2165,NEWTONVILLE,12027,MA,"[-71.22795, 42.352366]"
2166,AUBURNDALE,6123,MA,"[-71.247598, 42.345928]"
2167,BOSTON COLLEGE,15619,MA,"[-71.16272, 42.31903]"
2168,WABAN,5759,MA,"[-71.230703, 42.327049]"
2169,QUINCY,48920,MA,"[-70.997816, 42.249133]"
2170,QUINCY,18330,MA,"[-71.018644, 42.26713]"
2171,QUINCY,18251,MA,"[-71.024141, 42.282519]"
2172,EAST WATERTOWN,33930,MA,"[-71.180266, 42.371497]"
2173,LEXINGTON,28994,MA,"[-71.225916, 42.445384]"
2174,ARLINGTON,44539,MA,"[-71.162517, 42.417098]"
2176,MELROSE,28228,MA,"[-71.063191, 42.458066]"
2178,BELMONT,24733,MA,"[-71.174647, 42.389656]"
2180,STONEHAM,22147,MA,"[-71.0978, 42.482778]"
2181,WELLESLEY,26615,MA,"[-71.287966, 42.305593]"
2184,BRAINTREE,33836,MA,"[-70.996304, 42.209284]"
2186,MILTON,25558,MA,"[-71.077051, 42.253663]"
2188,WEYMOUTH,13187,MA,"[-70.958248, 42.211327]"
2189,WEYMOUTH,14055,MA,"[-70.931671, 42.211606]"
2190,WEYMOUTH,17668,MA,"[-70.94869, 42.172817]"
2191,WEYMOUTH,9153,MA,"[-70.944318, 42.243564]"
2192,NEEDHAM,19570,MA,"[-71.235172, 42.278908]"
2193,WESTON,10221,MA,"[-71.300291, 42.359422]"
2194,NEEDHAM,8006,MA,"[-71.234363, 42.297702]"
2199,BOSTON,886,MA,"[-71.082543, 42.347873]"
2210,BOSTON,308,MA,"[-71.046511, 42.348921]"
2215,BOSTON,17769,MA,"[-71.102689, 42.347088]"
2322,AVON,4594,MA,"[-71.043738, 42.125825]"
2324,BRIDGEWATER,21198,MA,"[-70.97234, 41.977341]"
2330,CARVER,10573,MA,"[-70.767754, 41.888265]"
2332,DUXBURY,13913,MA,"[-70.716257, 42.039936]"
2333,EAST BRIDGEWATER,11104,MA,"[-70.944964, 42.031478]"
2338,HALIFAX,6526,MA,"[-70.844794, 42.000159]"
2339,HANOVER,11912,MA,"[-70.857006, 42.121406]"
2341,HANSON,9037,MA,"[-70.865053, 42.061627]"
2343,HOLBROOK,11041,MA,"[-71.008273, 42.14641]"
2346,MIDDLEBORO,17867,MA,"[-70.892965, 41.888396]"
2347,LAKEVILLE,7785,MA,"[-70.958195, 41.837377]"
2351,ABINGTON,13849,MA,"[-70.954293, 42.116715]"
2356,NORTH EASTON,10397,MA,"[-71.112337, 42.058956]"
2359,PEMBROKE,14535,MA,"[-70.804404, 42.062072]"
2360,PLYMOUTH,45629,MA,"[-70.642004, 41.910404]"
2364,KINGSTON,9045,MA,"[-70.740993, 41.995022]"
2367,PLYMPTON,2384,MA,"[-70.804582, 41.96549]"
2368,RANDOLPH,30057,MA,"[-71.051392, 42.173587]"
2370,ROCKLAND,16123,MA,"[-70.913263, 42.129286]"
2375,SOUTH EASTON,9247,MA,"[-71.098814, 42.025704]"
2379,WEST BRIDGEWATER,6440,MA,"[-71.016054, 42.025511]"
2382,WHITMAN,13208,MA,"[-70.938127, 42.081603]"
2401,BROCKTON,59498,MA,"[-71.034348, 42.081571]"
2402,BROCKTON,33290,MA,"[-71.001947, 42.088396]"
2532,ONSET,12047,MA,"[-70.593168, 41.752918]"
2535,CHILMARK,952,MA,"[-70.741613, 41.357523]"
2536,TEATICKET,15976,MA,"[-70.565174, 41.58504]"
2537,EAST SANDWICH,7254,MA,"[-70.46822, 41.684603]"
2538,EAST WAREHAM,4778,MA,"[-70.653237, 41.768247]"
2539,EDGARTOWN,3062,MA,"[-70.533893, 41.388856]"
2540,FALMOUTH,8588,MA,"[-70.621663, 41.564754]"
2542,OTIS A F B,2078,MA,"[-70.57383, 41.660927]"
2543,WOODS HOLE,833,MA,"[-70.66431, 41.526272]"
2554,NANTUCKET,6012,MA,"[-70.093216, 41.272529]"
2556,NORTH FALMOUTH,2651,MA,"[-70.623043, 41.641677]"
2559,POCASSET,3907,MA,"[-70.610512, 41.688115]"
2563,SANDWICH,9007,MA,"[-70.469325, 41.698304]"
2568,VINEYARD HAVEN,5924,MA,"[-70.593737, 41.449955]"
2571,WAREHAM,9304,MA,"[-70.711594, 41.754084]"
2575,WEST TISBURY,1603,MA,"[-70.655802, 41.413717]"
2576,WEST WAREHAM,3919,MA,"[-70.764179, 41.779617]"
2601,WEST YARMOUTH,14543,MA,"[-70.298176, 41.653682]"
